cod_uf,cod_munic,municipio,cod_amc,AMC,flag
Goías,5200050,Abadia de Goiás - GO,52AMC9197009,4240,0
Minas Gerais,3100104,Abadia dos Dourados - MG,310010,1708,0
Goías,5200100,Abadiânia - GO,520010,4050,0
Pará,1500107,Abaetetuba - PA,150010,91,0
Minas Gerais,3100203,Abaeté - MG,310020,1709,0
Ceará,2300101,Abaiara - CE,230010,459,0
Bahia,2900207,Abaré - BA,290020,1293,0
Paraná,4100103,Abatiá - PR,410010,3132,0
Bahia,2900108,Abaíra - BA,290010,1292,0
Santa Catarina,4200051,Abdon Batista - SC,420005,3448,0
Pará,1500131,Abel Figueiredo - PA,15AMC9197004,165,0
Santa Catarina,4200101,Abelardo Luz - SC,42AMC9197045,3647,0
Minas Gerais,3100302,Abre Campo - MG,31AMC9197001,2343,0
Pernambuco,2600054,Abreu e Lima - PE,260005,957,0
Tocantins,1700251,Abreulândia - TO,17AMC9197003,225,0
Minas Gerais,3100401,Acaiaca - MG,310040,1710,0
Bahia,2900306,Acajutiba - BA,290030,1294,0
Ceará,2300150,Acarape - CE,230015,460,0
Ceará,2300200,Acaraú - CE,230020,461,0
Rio Grande do Norte,2400109,Acari - RN,240010,637,0
Pará,1500206,Acará - PA,150020,92,0
Piauí,2200053,Acauã - PI,22AMC9197024,436,0
Rio Grande do Sul,4300034,Aceguá - RS,,3843,1
Ceará,2300309,Acopiara - CE,230030,462,0
Mato Grosso,5100102,Acorizal - MT,510010,3978,0
Acre,1200013,Acrelândia - AC,12AMC9197004,23,0
Goías,5200134,Acreúna - GO,520013,4051,0
Sao Paulo,3500105,Adamantina - SP,350010,2563,0
Goías,5200159,Adelândia - GO,520015,4052,0
Sao Paulo,3500204,Adolfo - SP,350020,2564,0
Paraná,4100202,Adrianópolis - PR,410020,3133,0
Bahia,2900355,Adustina - BA,290035,1295,0
Pernambuco,2600104,Afogados da Ingazeira - PE,260010,958,0
Rio Grande do Norte,2400307,Afonso Bezerra - RN,240030,639,0
Espírito Santo,3200102,Afonso Cláudio - ES,32AMC9197001,2486,0
Maranhao,2100105,Afonso Cunha - MA,210010,257,0
Pernambuco,2600203,Afrânio - PE,260020,959,0
Pará,1500305,Afuá - PA,150030,93,0
Pernambuco,2600302,Agrestina - PE,260030,960,0
Piauí,2200103,Agricolândia - PI,22AMC9197043,455,0
Santa Catarina,4200200,Agrolândia - SC,420020,3449,0
Santa Catarina,4200309,Agronômica - SC,420030,3450,0
Minas Gerais,3100807,Aguanil - MG,310080,1713,0
Sao Paulo,3500303,Aguaí - SP,350030,2565,0
Rio Grande do Sul,4300109,Agudo - RS,430010,3649,0
Sao Paulo,3500709,Agudos - SP,35AMC9197002,3069,0
Paraná,4100301,Agudos do Sul - PR,410030,3134,0
Paraíba,2500205,Aguiar - PB,250020,790,0
Tocantins,1700301,Aguiarnópolis - TO,17AMC9197031,253,0
Minas Gerais,3101102,Aimorés - MG,310110,1714,0
Bahia,2900603,Aiquara - BA,290060,1298,0
Ceará,2300408,Aiuaba - CE,230040,463,0
Minas Gerais,3101201,Aiuruoca - MG,310120,1715,0
Rio Grande do Sul,4300208,Ajuricaba - RS,43AMC9197001,3837,0
Minas Gerais,3101300,Alagoa - MG,310130,1716,0
Paraíba,2500304,Alagoa Grande - PB,250030,791,0
Paraíba,2500403,Alagoa Nova - PB,25AMC9197001,918,0
Paraíba,2500502,Alagoinha - PB,250050,792,0
Pernambuco,2600609,Alagoinha - PE,260060,962,0
Piauí,2200251,Alagoinha do Piauí - PI,220025,375,0
Bahia,2900702,Alagoinhas - BA,290070,1299,0
Sao Paulo,3500758,Alambari - SP,35AMC9197026,3093,0
Minas Gerais,3101409,Albertina - MG,310140,1717,0
Paraíba,2500536,Alcantil - PB,25AMC9197006,923,0
Mato Grosso do Sul,5000252,Alcinópolis - MS,50AMC9197001,3973,0
Bahia,2900801,Alcobaça - BA,290080,1300,0
Maranhao,2100204,Alcântara - MA,210020,258,0
Ceará,2300507,Alcântaras - CE,230050,464,0
Maranhao,2100303,Aldeias Altas - MA,210030,259,0
Rio Grande do Sul,4300307,Alecrim - RS,43AMC9197053,3887,0
Espírito Santo,3200201,Alegre - ES,320020,2431,0
Rio Grande do Sul,4300406,Alegrete - RS,43AMC9197002,3838,0
Piauí,2200277,Alegrete do Piauí - PI,22AMC9197038,450,0
Rio Grande do Sul,4300455,Alegria - RS,430045,3650,0
Pará,1500404,Alenquer - PA,15AMC9197001,162,0
Rio Grande do Norte,2400505,Alexandria - RN,240050,641,0
Goías,5200308,Alexânia - GO,520030,4055,0
Minas Gerais,3101607,Alfenas - MG,310160,1719,0
Espírito Santo,3200300,Alfredo Chaves - ES,320030,2432,0
Sao Paulo,3500808,Alfredo Marcondes - SP,350080,2569,0
Minas Gerais,3101631,Alfredo Vasconcelos - MG,31AMC9197064,2406,0
Santa Catarina,4200705,Alfredo Wagner - SC,420070,3454,0
Paraíba,2500577,Algodão de Jandaíra - PB,25AMC9197025,942,0
Paraíba,2500601,Alhandra - PB,250060,793,0
Pernambuco,2600708,Aliança - PE,260070,963,0
Tocantins,1700350,Aliança do Tocantins - TO,17AMC9197001,223,0
Bahia,2900900,Almadina - BA,290090,1301,0
Tocantins,1700400,Almas - TO,170040,193,0
Pará,1500503,Almeirim - PA,150050,94,0
Minas Gerais,3101706,Almenara - MG,31AMC9197005,2347,0
Rio Grande do Norte,2400604,Almino Afonso - RN,240060,642,0
Paraná,4100400,Almirante Tamandaré - PR,41AMC9197001,3391,0
Goías,5200506,Aloândia - GO,520050,4056,0
Minas Gerais,3101805,Alpercata - MG,310180,1720,0
Rio Grande do Sul,4300505,Alpestre - RS,430050,3651,0
Minas Gerais,3101904,Alpinópolis - MG,31AMC9197006,2348,0
Mato Grosso,5100250,Alta Floresta - MT,51AMC9197013,4045,0
Rondônia,1100015,Alta Floresta D'Oeste - RO,11AMC9197002,10,0
Sao Paulo,3500907,Altair - SP,350090,2570,0
Pará,1500602,Altamira - PA,15AMC9197002,163,0
Maranhao,2100402,Altamira do Maranhão - MA,21AMC9197001,324,0
Paraná,4100459,Altamira do Paraná - PR,410045,3135,0
Ceará,2300606,Altaneira - CE,230060,465,0
Minas Gerais,3102001,Alterosa - MG,310200,1721,0
Pernambuco,2600807,Altinho - PE,260080,964,0
Sao Paulo,3501004,Altinópolis - SP,350100,2571,0
Roraima,1400050,Alto Alegre - RR,140005,87,0
Rio Grande do Sul,4300554,Alto Alegre - RS,430055,3652,0
Sao Paulo,3501103,Alto Alegre - SP,350110,2572,0
Maranhao,2100436,Alto Alegre do Maranhão - MA,21AMC9197013,336,0
Maranhao,2100477,Alto Alegre do Pindaré - MA,21AMC9197042,365,0
Rondônia,1100379,Alto Alegre dos Parecis - RO,11AMC9197002,10,0
Mato Grosso,5100300,Alto Araguaia - MT,510030,3980,0
Santa Catarina,4200754,Alto Bela Vista - SC,42AMC9197010,3612,0
Mato Grosso,5100359,Alto Boa Vista - MT,,3908,1
Minas Gerais,3102050,Alto Caparaó - MG,31AMC9197015,2357,0
Rio Grande do Sul,4300570,Alto Feliz - RS,43AMC9197017,3852,0
Mato Grosso,5100409,Alto Garças - MT,510040,3981,0
Goías,5200555,Alto Horizonte - GO,52AMC9197017,4248,0
Minas Gerais,3153509,Alto Jequitibá - MG,315350,2179,0
Piauí,2200301,Alto Longá - PI,22AMC9197001,413,0
Mato Grosso,5100508,Alto Paraguai - MT,510050,3982,0
Paraná,4100608,Alto Paraná - PR,410060,3137,0
Paraná,4128625,Alto Paraíso - PR,41AMC9197057,3447,0
Rondônia,1100403,Alto Paraíso - RO,11AMC9197006,14,0
Goías,5200605,Alto Paraíso de Goiás - GO,520060,4057,0
Maranhao,2100501,Alto Parnaíba - MA,210050,260,0
Paraná,4100707,Alto Piquiri - PR,41AMC9197002,3392,0
Minas Gerais,3102100,Alto Rio Doce - MG,310210,1722,0
Espírito Santo,3200359,Alto Rio Novo - ES,320035,2433,0
Ceará,2300705,Alto Santo - CE,230070,466,0
Mato Grosso,5100607,Alto Taquari - MT,510060,3983,0
Rio Grande do Norte,2400703,Alto do Rodrigues - RN,240070,643,0
Piauí,2200400,Altos - PI,22AMC9197002,414,0
Paraná,4100509,Altônia - PR,410050,3136,0
Sao Paulo,3501152,Alumínio - SP,35AMC9197035,3102,0
Minas Gerais,3102209,Alvarenga - MG,310220,1723,0
Amazonas,1300029,Alvarães - AM,130002,25,0
Sao Paulo,3501509,Alvinlândia - SP,350150,2576,0
Minas Gerais,3102308,Alvinópolis - MG,310230,1724,0
Rio Grande do Sul,4300604,Alvorada - RS,430060,3653,0
Tocantins,1700707,Alvorada - TO,17AMC9197023,245,0
Rondônia,1100346,Alvorada D'Oeste - RO,11AMC9197005,13,0
