"ano";"chave";"UF";"MUNICIPIO";"CAMINHAO";"MICRO_ONIBUS";"ONIBUS";"total"
2006;"ACRELANDIA (AC)";"AC";"ACRELANDIA";69;1;11;81
2006;"ASSIS BRASIL (AC)";"AC";"ASSIS BRASIL";11;0;1;12
2006;"BRASILEIA (AC)";"AC";"BRASILEIA";100;0;3;103
2006;"BUJARI (AC)";"AC";"BUJARI";37;3;2;42
2006;"CAPIXABA (AC)";"AC";"CAPIXABA";23;1;3;27
2006;"CRUZEIRO DO SUL (AC)";"AC";"CRUZEIRO DO SUL";273;23;22;318
2006;"EPITACIOLANDIA (AC)";"AC";"EPITACIOLANDIA";85;1;7;93
2006;"FEIJO (AC)";"AC";"FEIJO";31;1;0;32
2006;"MANCIO LIMA (AC)";"AC";"MANCIO LIMA";23;1;4;28
2006;"MANOEL URBANO (AC)";"AC";"MANOEL URBANO";5;0;0;5
2006;"PLACIDO DE CASTRO (AC)";"AC";"PLACIDO DE CASTRO";56;1;1;58
2006;"PORTO ACRE (AC)";"AC";"PORTO ACRE";55;3;15;73
2006;"RIO BRANCO (AC)";"AC";"RIO BRANCO";2602;86;362;3050
2006;"RODRIGUES ALVES (AC)";"AC";"RODRIGUES ALVES";2;0;0;2
2006;"SANTA ROSA (AC)";"AC";"SANTA ROSA";0;0;0;0
2006;"SENA MADUREIRA (AC)";"AC";"SENA MADUREIRA";49;1;1;51
2006;"SENADOR GUIOMARD (AC)";"AC";"SENADOR GUIOMARD";140;0;7;147
2006;"TARAUACA (AC)";"AC";"TARAUACA";40;0;0;40
2006;"XAPURI (AC)";"AC";"XAPURI";26;0;0;26
2006;"AGUA BRANCA (AL)";"AL";"AGUA BRANCA";30;8;1;39
2006;"ANADIA (AL)";"AL";"ANADIA";20;37;8;65
2006;"ARAPIRACA (AL)";"AL";"ARAPIRACA";2034;259;213;2506
2006;"ATALAIA (AL)";"AL";"ATALAIA";193;36;63;292
2006;"BARRA DE SANTO ANTONIO (AL)";"AL";"BARRA DE SANTO ANTONIO";24;7;8;39
2006;"BARRA DE SAO MIGUEL (AL)";"AL";"BARRA DE SAO MIGUEL";16;3;4;23
2006;"BATALHA (AL)";"AL";"BATALHA";55;10;2;67
2006;"BELEM (AL)";"AL";"BELEM";6;12;2;20
2006;"BELO MONTE (AL)";"AL";"BELO MONTE";15;1;0;16
2006;"BOCA DA MATA (AL)";"AL";"BOCA DA MATA";187;48;66;301
2006;"BRANQUINHA (AL)";"AL";"BRANQUINHA";8;16;8;32
2006;"CACIMBINHAS (AL)";"AL";"CACIMBINHAS";23;9;4;36
2006;"CAJUEIRO (AL)";"AL";"CAJUEIRO";93;7;35;135
2006;"CAMPESTRE (AL)";"AL";"CAMPESTRE";3;17;6;26
2006;"CAMPO ALEGRE (AL)";"AL";"CAMPO ALEGRE";124;75;92;291
2006;"CAMPO GRANDE (AL)";"AL";"CAMPO GRANDE";27;7;1;35
2006;"CANAPI (AL)";"AL";"CANAPI";18;14;3;35
2006;"CAPELA (AL)";"AL";"CAPELA";59;5;13;77
2006;"CARNEIROS (AL)";"AL";"CARNEIROS";19;2;0;21
