"ano";"cod_mun";"amc";"semiarido";"polos";"cod_uf";"uf";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2011;1100015;1001;0;0;11;"RO";"ALTA FLORESTA D OESTE (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;564;661;141006919677799;507657946279844;124215410220606;453368485318563;709889995909964;179513183772898;146872944054238;194200478178321;80155395557576;24228
2011;1100023;1002;0;0;11;"RO";"ARIQUEMES (RO)";0;0;0;3645;0;0;0;1350;0;"0";"0";189278420245461;0;0;0;0;2242;360;131146243404165;557426726867726;262939241200998;422279117790184;259955494676861;100091652635482;142705227780434;114362175413525;124890457098603;91570
2011;1100031;1001;0;0;11;"RO";"CABIXI (RO)";0;0;0;34005;0;0;0;11335;0;"0";"0";184335304222957;0;0;0;0;82;251;557877523125776;188749465292263;232660078773548;101690530513174;188467119212787;502173115972448;324116309873161;534584753882896;859322643288057;6221
2011;1100049;1003;0;0;11;"RO";"CACOAL (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;1752;739;139780854656702;676798811085924;114775451551718;354128586266499;224763341542118;761347260468927;110291836933043;87163909740197;110391342412427;78958
2011;1100056;1001;0;0;11;"RO";"CEREJEIRAS (RO)";0;0;0;66000;0;0;0;20000;0;"0";"0";357773599175016;0;0;0;226153788848115;365;345;143375649037228;218643236363623;135558283018229;712958584028264;47048413531659;153764423872671;263353755402831;180099799412954;106322548690318;16939
2011;1100064;1001;0;0;11;"RO";"COLORADO DO OESTE (RO)";0;0;0;9360;0;0;0;3000;0;"0";"0";507396321133499;0;0;0;0;417;510;135892465146183;265240461095666;132594497267363;404082343932911;503465512348987;130538282156806;123726290967119;142910911253518;779315471979839;18338
2011;1100072;1001;0;0;11;"RO";"CORUMBIARA (RO)";0;0;0;79500;0;0;0;25000;0;"0";"0";430958024208475;0;0;0;0;79;548;161974869523957;424384953754775;139866942483799;133582483543749;260129479899216;957963866604671;487429109349207;100670677753959;116315050806678;8654
2011;1100080;1001;0;0;11;"RO";"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;85;490;103314295110794;169062536494205;553092590277557;17778477548602;381393732161149;78355030316913;473498522236935;830900155392823;592526609888009;14022
2011;1100098;1004;0;0;11;"RO";"ESPIGAO D OESTE (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;586;269;109384540864138;411623704353356;243371042726698;720763023452708;788656777406854;216441454101648;241935129830345;240634967084683;830836033347165;28962
2011;1100106;1001;0;0;11;"RO";"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;872;22;126849830058536;152610877132876;224759809360332;237979683697109;119925385748589;39564213809502;996290988228929;495271237610226;118107311137078;41933
2011;1100114;1002;0;0;11;"RO";"JARU (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;1210;824;213459207266296;705709178994073;858450751006883;21990782528944;145366204059191;521690021656413;748227481462353;596512770494962;114972655573116;51883
2011;1100122;1005;0;0;11;"RO";"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;3205;408;211499530796271;535242015235596;22322142234573;61812991894543;311970013182094;120684555599681;216702906169701;142354846216652;121294513270524;117363
2011;1100130;1002;0;0;11;"RO";"MACHADINHO D OESTE (RO)";0;0;0;313;0;0;0;125;0;"0";"0";157847402399287;0;0;0;0;345;479;369640006113728;402460572643365;213269418472783;459765562841719;864795143497923;194029069745579;149057732104868;208934842956066;657441354124716;31779
2011;1100148;1005;0;0;11;"RO";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;274;781;563092705761831;272432957987414;102269491246527;291438955245543;548445625059108;121458702953859;938305606494917;130841759711121;658058205157776;19882
2011;1100155;1005;0;0;11;"RO";"OURO PRETO DO OESTE (RO)";0;0;0;0;0;0;0;0;0;"0";"0";0;0;0;0;0;815;407;175400724751555;520280511507365;38780044668361;120000225494409;105647769737516;316456091743336;350933725072471;351549464250583;932442683196853;37701
