"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2011;" ACRELANDIA (AC)";"AC";" ACRELANDIA";556;11583165.23
2011;" ASSIS BRASIL (AC)";"AC";" ASSIS BRASIL";100;594440.41
2011;" BRASILEIA (AC)";"AC";" BRASILEIA";433;4930565.69
2011;" BUJARI (AC)";"AC";" BUJARI";92;15794938.56
2011;" CAPIXABA (AC)";"AC";" CAPIXABA";383;7339754.28
2011;" CRUZEIRO DO SUL (AC)";"AC";" CRUZEIRO DO SUL";404;1836359.79
2011;" EPITACIOLANDIA (AC)";"AC";" EPITACIOLANDIA";260;2573398.49
2011;" FEIJO (AC)";"AC";" FEIJO";172;382500
2011;" MANCIO LIMA (AC)";"AC";" MANCIO LIMA";163;609175.16
2011;" MANOEL URBANO (AC)";"AC";" MANOEL URBANO";29;163350
2011;" MARECHAL THAUMATURGO (AC)";"AC";" MARECHAL THAUMATURGO";58;116000
2011;" PLACIDO DE CASTRO (AC)";"AC";" PLACIDO DE CASTRO";622;9969392.01
2011;" PORTO ACRE (AC)";"AC";" PORTO ACRE";177;3247493.13
2011;" PORTO WALTER (AC)";"AC";" PORTO WALTER";20;40000
2011;" RIO BRANCO (AC)";"AC";" RIO BRANCO";773;15968698.86
2011;" RODRIGUES ALVES (AC)";"AC";" RODRIGUES ALVES";309;494793.21
2011;" SENA MADUREIRA (AC)";"AC";" SENA MADUREIRA";366;9094352.1
2011;" SENADOR GUIOMARD (AC)";"AC";" SENADOR GUIOMARD";307;8246470.51
2011;" TARAUACA (AC)";"AC";" TARAUACA";103;2257671.17
2011;" XAPURI (AC)";"AC";" XAPURI";220;8487256.23
2011;" AGUA BRANCA (AL)";"AL";" AGUA BRANCA";609;1139330.53
2011;" ANADIA (AL)";"AL";" ANADIA";56;10312625.44
2011;" ARAPIRACA (AL)";"AL";" ARAPIRACA";706;33813772.61
2011;" ATALAIA (AL)";"AL";" ATALAIA";107;5880895.91
2011;" BARRA DE SANTO ANTONIO (AL)";"AL";" BARRA DE SANTO ANTONIO";41;454702.24
2011;" BARRA DE SAO MIGUEL (AL)";"AL";" BARRA DE SAO MIGUEL";2;4000
2011;" BATALHA (AL)";"AL";" BATALHA";440;1809848.26
2011;" BELEM (AL)";"AL";" BELEM";102;310754.01
2011;" BELO MONTE (AL)";"AL";" BELO MONTE";650;1369827.97
2011;" BOCA DA MATA (AL)";"AL";" BOCA DA MATA";73;2599016.81
2011;" BRANQUINHA (AL)";"AL";" BRANQUINHA";41;415778.72
2011;" CACIMBINHAS (AL)";"AL";" CACIMBINHAS";235;1246649.75
2011;" CAJUEIRO (AL)";"AL";" CAJUEIRO";60;2424152.36
2011;" CAMPESTRE (AL)";"AL";" CAMPESTRE";61;369711.99
2011;" CAMPO ALEGRE (AL)";"AL";" CAMPO ALEGRE";10;1294593.98
2011;" CAMPO GRANDE (AL)";"AL";" CAMPO GRANDE";292;2065407.45
2011;" CANAPI (AL)";"AL";" CANAPI";638;1778616.99
2011;" CAPELA (AL)";"AL";" CAPELA";58;3093925.88
2011;" CARNEIROS (AL)";"AL";" CARNEIROS";79;174324.73
2011;" CHA PRETA (AL)";"AL";" CHA PRETA";70;2354234.46
2011;" COITE DO NOIA (AL)";"AL";" COITE DO NOIA";397;3372108.52
2011;" COLONIA LEOPOLDINA (AL)";"AL";" COLONIA LEOPOLDINA";51;1097969.34
2011;" COQUEIRO SECO (AL)";"AL";" COQUEIRO SECO";3;6500
2011;" CORURIPE (AL)";"AL";" CORURIPE";1461;34274484.87
2011;" CRAIBAS (AL)";"AL";" CRAIBAS";763;3446259.63
2011;" DELMIRO GOUVEIA (AL)";"AL";" DELMIRO GOUVEIA";226;615918.81
2011;" DOIS RIACHOS (AL)";"AL";" DOIS RIACHOS";402;1064355.94
2011;" ESTRELA DE ALAGOAS (AL)";"AL";" ESTRELA DE ALAGOAS";1028;2545727.84
2011;" FEIRA GRANDE (AL)";"AL";" FEIRA GRANDE";631;2547157.24
2011;" FELIZ DESERTO (AL)";"AL";" FELIZ DESERTO";48;1158183.39
2011;" FLEXEIRAS (AL)";"AL";" FLEXEIRAS";18;1610307
2011;" GIRAU DO PONCIANO (AL)";"AL";" GIRAU DO PONCIANO";1235;4960730.38
2011;" IBATEGUARA (AL)";"AL";" IBATEGUARA";722;4504707.04
2011;" IGACI (AL)";"AL";" IGACI";634;2750817.39
2011;" IGREJA NOVA (AL)";"AL";" IGREJA NOVA";1989;7280621.26
2011;" INHAPI (AL)";"AL";" INHAPI";851;2192913
2011;" JACARE DOS HOMENS (AL)";"AL";" JACARE DOS HOMENS";286;1142034.86
2011;" JACUIPE (AL)";"AL";" JACUIPE";23;99973.43
2011;" JAPARATINGA (AL)";"AL";" JAPARATINGA";106;320060.9
2011;" JARAMATAIA (AL)";"AL";" JARAMATAIA";69;194552.29
2011;" JEQUIA DA PRAIA (AL)";"AL";" JEQUIA DA PRAIA";46;198307.14
2011;" JOAQUIM GOMES (AL)";"AL";" JOAQUIM GOMES";325;1546557.69
2011;" JUNDIA (AL)";"AL";" JUNDIA";58;1006617
2011;" JUNQUEIRO (AL)";"AL";" JUNQUEIRO";933;4322404.88
2011;" LAGOA DA CANOA (AL)";"AL";" LAGOA DA CANOA";429;1382876.1
2011;" LIMOEIRO DE ANADIA (AL)";"AL";" LIMOEIRO DE ANADIA";451;4861568.01
2011;" MACEIO (AL)";"AL";" MACEIO";221;10590302.87
2011;" MAJOR ISIDORO (AL)";"AL";" MAJOR ISIDORO";1029;3743471.09
2011;" MAR VERMELHO (AL)";"AL";" MAR VERMELHO";115;1164869.03
2011;" MARAGOGI (AL)";"AL";" MARAGOGI";119;583018.2
2011;" MARAVILHA (AL)";"AL";" MARAVILHA";183;479281.76
2011;" MARECHAL DEODORO (AL)";"AL";" MARECHAL DEODORO";23;1453292.97
2011;" MARIBONDO (AL)";"AL";" MARIBONDO";119;952760.85
2011;" MATA GRANDE (AL)";"AL";" MATA GRANDE";655;1688319.65
2011;" MATRIZ DE CAMARAGIBE (AL)";"AL";" MATRIZ DE CAMARAGIBE";43;735243.41
2011;" MESSIAS (AL)";"AL";" MESSIAS";3;6500
2011;" MINADOR DO NEGRAO (AL)";"AL";" MINADOR DO NEGRAO";267;2019108.55
2011;" MONTEIROPOLIS (AL)";"AL";" MONTEIROPOLIS";442;1127606.18
2011;" MURICI (AL)";"AL";" MURICI";26;2485156.67
2011;" NOVO LINO (AL)";"AL";" NOVO LINO";93;1240518.22
2011;" OLHO D AGUA DAS FLORES (AL)";"AL";" OLHO D AGUA DAS FLORES";341;578004.08
2011;" OLHO D AGUA DO CASADO (AL)";"AL";" OLHO D AGUA DO CASADO";198;611427.75
2011;" OLHO D AGUA GRANDE (AL)";"AL";" OLHO D AGUA GRANDE";462;1885639.99
2011;" OLIVENCA (AL)";"AL";" OLIVENCA";323;710419.65
2011;" OURO BRANCO (AL)";"AL";" OURO BRANCO";580;1166639.27
2011;" PALESTINA (AL)";"AL";" PALESTINA";130;213547.7
2011;" PALMEIRA DOS INDIOS (AL)";"AL";" PALMEIRA DOS INDIOS";1254;4377812.96
2011;" PAO DE ACUCAR (AL)";"AL";" PAO DE ACUCAR";730;1704214.07
2011;" PARICONHA (AL)";"AL";" PARICONHA";229;435472.1
2011;" PARIPUEIRA (AL)";"AL";" PARIPUEIRA";13;71612.1
2011;" PASSO DE CAMARAGIBE (AL)";"AL";" PASSO DE CAMARAGIBE";53;717963.23
2011;" PAULO JACINTO (AL)";"AL";" PAULO JACINTO";121;1536122.82
2011;" PENEDO (AL)";"AL";" PENEDO";526;2150575.36
2011;" PIACABUCU (AL)";"AL";" PIACABUCU";141;625593.35
2011;" PILAR (AL)";"AL";" PILAR";41;1310804.22
2011;" PINDOBA (AL)";"AL";" PINDOBA";55;479659.55
2011;" PIRANHAS (AL)";"AL";" PIRANHAS";640;2120257.59
2011;" POCO DAS TRINCHEIRAS (AL)";"AL";" POCO DAS TRINCHEIRAS";417;1097020.24
2011;" PORTO CALVO (AL)";"AL";" PORTO CALVO";113;1858396.33
2011;" PORTO DE PEDRAS (AL)";"AL";" PORTO DE PEDRAS";38;1024688.72
2011;" PORTO REAL DO COLEGIO (AL)";"AL";" PORTO REAL DO COLEGIO";551;2060534.37
2011;" QUEBRANGULO (AL)";"AL";" QUEBRANGULO";481;3058576.41
2011;" RIO LARGO (AL)";"AL";" RIO LARGO";1;50175
2011;" ROTEIRO (AL)";"AL";" ROTEIRO";7;13000
2011;" SANTA LUZIA DO NORTE (AL)";"AL";" SANTA LUZIA DO NORTE";2;61998.32
2011;" SANTANA DO IPANEMA (AL)";"AL";" SANTANA DO IPANEMA";932;2447511.88
2011;" SANTANA DO MUNDAU (AL)";"AL";" SANTANA DO MUNDAU";212;770520.72
2011;" SAO BRAS (AL)";"AL";" SAO BRAS";251;2587935.47
2011;" SAO JOSE DA LAJE (AL)";"AL";" SAO JOSE DA LAJE";444;8265491.99
2011;" SAO JOSE DA TAPERA (AL)";"AL";" SAO JOSE DA TAPERA";1692;5073776.76
2011;" SAO LUIS DO QUITUNDE (AL)";"AL";" SAO LUIS DO QUITUNDE";35;1124460.19
2011;" SAO MIGUEL DOS CAMPOS (AL)";"AL";" SAO MIGUEL DOS CAMPOS";21;20596411.65
2011;" SAO MIGUEL DOS MILAGRES (AL)";"AL";" SAO MIGUEL DOS MILAGRES";190;700216.25
2011;" SAO SEBASTIAO (AL)";"AL";" SAO SEBASTIAO";1689;7059294.53
2011;" SATUBA (AL)";"AL";" SATUBA";1;2500
2011;" SENADOR RUI PALMEIRA (AL)";"AL";" SENADOR RUI PALMEIRA";473;1722523.81
2011;" TANQUE D ARCA (AL)";"AL";" TANQUE D ARCA";233;1280970.94
2011;" TAQUARANA (AL)";"AL";" TAQUARANA";368;7621780.38
2011;" TEOTONIO VILELA (AL)";"AL";" TEOTONIO VILELA";265;2008792.19
2011;" TRAIPU (AL)";"AL";" TRAIPU";549;2481256.32
2011;" UNIAO DOS PALMARES (AL)";"AL";" UNIAO DOS PALMARES";888;2811773.86
2011;" VICOSA (AL)";"AL";" VICOSA";625;6689689.32
2011;" ALVARAES (AM)";"AM";" ALVARAES";10;18678.13
2011;" ANORI (AM)";"AM";" ANORI";84;788639.52
2011;" APUI (AM)";"AM";" APUI";3;99348
2011;" AUTAZES (AM)";"AM";" AUTAZES";198;1828426.79
2011;" BARREIRINHA (AM)";"AM";" BARREIRINHA";249;2305587.6
2011;" BENJAMIN CONSTANT (AM)";"AM";" BENJAMIN CONSTANT";18;1301252.92
2011;" BOA VISTA DO RAMOS (AM)";"AM";" BOA VISTA DO RAMOS";64;610842.93
2011;" BOCA DO ACRE (AM)";"AM";" BOCA DO ACRE";222;1644504.63
2011;" BORBA (AM)";"AM";" BORBA";37;828119.4
2011;" CANUTAMA (AM)";"AM";" CANUTAMA";27;986065
2011;" CARAUARI (AM)";"AM";" CARAUARI";110;4232320.93
2011;" CAREIRO (AM)";"AM";" CAREIRO";264;1737555.47
2011;" CAREIRO DA VARZEA (AM)";"AM";" CAREIRO DA VARZEA";73;261006.4
2011;" COARI (AM)";"AM";" COARI";135;933944.91
2011;" CODAJAS (AM)";"AM";" CODAJAS";1;6400
2011;" ENVIRA (AM)";"AM";" ENVIRA";28;136389.95
2011;" FONTE BOA (AM)";"AM";" FONTE BOA";24;163308.12
2011;" GUAJARA (AM)";"AM";" GUAJARA";32;315875.65
2011;" HUMAITA (AM)";"AM";" HUMAITA";173;1536185.13
2011;" IPIXUNA (AM)";"AM";" IPIXUNA";70;154084.43
2011;" IRANDUBA (AM)";"AM";" IRANDUBA";45;1378889.23
2011;" ITACOATIARA (AM)";"AM";" ITACOATIARA";976;18249826.35
2011;" ITAPIRANGA (AM)";"AM";" ITAPIRANGA";20;354066.12
2011;" JAPURA (AM)";"AM";" JAPURA";14;29712.48
2011;" JURUA (AM)";"AM";" JURUA";102;205934
2011;" JUTAI (AM)";"AM";" JUTAI";123;557918.13
2011;" LABREA (AM)";"AM";" LABREA";220;10542269.66
2011;" MANACAPURU (AM)";"AM";" MANACAPURU";851;4841979.37
2011;" MANAQUIRI (AM)";"AM";" MANAQUIRI";4;6025
2011;" MANAUS (AM)";"AM";" MANAUS";164;5605371.05
2011;" MANICORE (AM)";"AM";" MANICORE";181;4611021.73
2011;" MARAA (AM)";"AM";" MARAA";150;1281235.08
2011;" MAUES (AM)";"AM";" MAUES";1417;10159660.75
2011;" NHAMUNDA (AM)";"AM";" NHAMUNDA";308;1990655.39
2011;" NOVA OLINDA DO NORTE (AM)";"AM";" NOVA OLINDA DO NORTE";10;123429.08
2011;" NOVO AIRAO (AM)";"AM";" NOVO AIRAO";38;73392
2011;" NOVO ARIPUANA (AM)";"AM";" NOVO ARIPUANA";154;2036175.43
2011;" PARINTINS (AM)";"AM";" PARINTINS";419;3253221.45
2011;" PAUINI (AM)";"AM";" PAUINI";5;15664
2011;" PRESIDENTE FIGUEIREDO (AM)";"AM";" PRESIDENTE FIGUEIREDO";54;529193.14
2011;" RIO PRETO DA EVA (AM)";"AM";" RIO PRETO DA EVA";93;2026868.53
2011;" SANTO ANTONIO DO ICA (AM)";"AM";" SANTO ANTONIO DO ICA";298;2405058
2011;" SAO GABRIEL DA CACHOEIRA (AM)";"AM";" SAO GABRIEL DA CACHOEIRA";25;68197.55
