"ano";"cod_mun";"amc";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta"
2012;"1100015";"1001";11;"RO";"0";"ALTA FLORESTA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;606;736;18630795.7639638;77761.218094983;13852.8269351851;52265.8315513967;82644.6541232594;226524.530704824;14566.7294535703;241091.260158394;10016.6715156027
2012;"1100023";"1002";11;"RO";"0";"ARIQUEMES (RO)";0;0;0;4926;0;0;0;1642;0;0;0;3367.64789299618;0;0;0;0;2335;448;19582878.0958646;70705.4374154453;226146.96286057;498754.071524573;304385.816156161;1099992.28868948;148324.982754811;1248317.2714443;13459.3807336986
2012;"1100031";"1001";11;"RO";"0";"CABIXI (RO)";0;0;0;37000;0;0;0;11700;0;0;0;34783.6408025287;0;0;0;0;89;365;5685986.35995375;31784.5810921395;3056.03714732551;12492.4701117633;22273.7755730587;69606.8646570215;3363.58854370828;72970.4532007298;11899.9458007591
2012;"1100049";"1003";11;"RO";"0";"CACOAL (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1860;1082;22533752.5315257;99240.5365137965;108952.882863145;420641.663295627;258891.870954907;887726.952894741;118101.460335327;1005828.41323007;12679.0404428796
2012;"1100056";"1001";11;"RO";"0";"CEREJEIRAS (RO)";0;0;0;75000;0;0;0;22800;0;0;0;70507.3800051256;0;0;0;936.83040407057;369;372;16996301.8653297;49198.2648262652;16488.6269084585;103078.898929779;54846.6463929168;223612.436324685;38217.788017659;261830.225075078;15537.0421619214
2012;"1100064";"1001";11;"RO";"0";"COLORADO DO OESTE (RO)";0;0;0;9360;0;0;0;3000;0;0;0;8799.4089527831;0;0;0;0;428;516;19448901.4781483;35958.1688221769;11880.1429173918;45014.1733467617;57599.383469594;150451.868555924;12266.9710606168;162718.839616541;8993.46636531163
2012;"1100072";"1001";11;"RO";"0";"CORUMBIARA (RO)";0;0;0;78000;0;0;0;25000;0;0;0;73441.981791777;0;0;0;0;89;725;39581129.048995;69109.2741642645;8541.53842290184;15885.9908609609;30052.5388172588;123589.342998121;5278.4817892386;128867.824787359;15107.6011094568
2012;"1100080";"1001";11;"RO";"0";"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;842;21547172.3033065;22040.986546088;6965.37516067658;19249.3324731331;45868.8077896291;94124.5019695269;4128.45861042701;98252.9605799539;6844.50986746561
2012;"1100098";"1004";11;"RO";"0";"ESPIGAO D OESTE (RO)";0;0;0;480;0;0;0;200;0;0;0;298.955687628904;0;0;0;0;614;408;13084818.8009558;51935.1264766478;26176.8824119793;79692.7663963462;92806.1381619336;250610.913446907;25027.2834864598;275638.197666101;9443.21881890629
2012;"1100106";"1001";11;"RO";"0";"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;910;135;1122048.92058322;17427.9617991482;15970.6224317375;160534.150586678;137697.884758204;331630.620308502;46586.0618357477;378216.68214425;8962.05403607474
