"ano";"cod_mun";"amc";"regiao";"polos";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2016;"1100015";"1001";"Norte";0;11;"RO";0;"ALTA FLORESTA D OESTE (RO)";0;0;0;1500;0;0;0;500;0;0;0;1346.46868098304;0;0;0;0;652;654;18236527.130427;149137.908739025;28363.4300883417;102817.260487985;128123.239905982;408441.840118979;20827.6209944645;429269.461113444;16830.1403956581;"25506"
2016;"1100023";"1002";"Norte";0;11;"RO";0;"ARIQUEMES (RO)";0;0;0;6857;0;0;0;2078;0;0;0;6001.65973403506;0;0;0;0;2355;480;15357609.8949809;130220.385522466;318024.617245355;789529.264156835;528690.478765096;1766464.7465874;194304.329926188;1960769.07651358;18515.9909959118;"105896"
2016;"1100031";"1001";"Norte";0;11;"RO";0;"CABIXI (RO)";0;0;0;64971;0;0;0;21657;0;0;0;58290.4244913303;0;0;0;0;132;364;8981741.44325379;53033.8870606644;4151.57765582445;21627.4566038626;35944.8243282365;114757.745648588;4936.36243830647;119694.107189249;19032.2988998637;"6289"
2016;"1100049";"1003";"Norte";0;11;"RO";0;"CACOAL (RO)";0;0;0;1668;0;0;0;556;0;0;0;1497.27317325314;0;0;0;0;2249;543;18268560.3115348;168761.643109365;208066.449872356;760573.425549984;435590.315610639;1572991.83414234;174978.137307326;1747969.97055202;19891.0945775105;"87877"
2016;"1100056";"1001";"Norte";0;11;"RO";0;"CEREJEIRAS (RO)";0;0;0;82056;0;0;0;26300;0;0;0;74619.4990085052;0;0;0;0;453;110;3346952.34315211;47477.7109779616;20190.3050525069;157232.965520737;89314.8707597951;314215.852311;52197.6169064048;366413.469217405;20402.7796056576;"17959"
2016;"1100064";"1001";"Norte";0;11;"RO";0;"COLORADO DO OESTE (RO)";0;0;0;9000;0;0;0;3000;0;0;0;8174.86018514168;0;0;0;0;482;506;17479680.9088174;65245.1802859076;25633.6353903482;77197.5673320051;90485.2464713876;258561.629479649;16582.6971532165;275144.325735219;14761.7580431371;"18639"
2016;"1100072";"1001";"Norte";0;11;"RO";0;"CORUMBIARA (RO)";0;0;0;121680;0;0;0;39000;0;0;0;110066.633504065;0;0;0;0;130;529;12332487.7760906;118648.075167408;9025.91097493539;27131.2990395188;49747.0178752878;204552.30305715;7851.97160956722;212404.274666717;24277.548434754;"8749"
2016;"1100080";"1001";"Norte";0;11;"RO";0;"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184;326;8603968.30878718;56158.1997751234;5952.88525253512;34879.3259598515;81706.3119630844;178696.722950594;6308.60881336403;185005.331763958;10862.8604952775;"17031"
2016;"1100098";"1004";"Norte";0;11;"RO";0;"ESPIGAO D OESTE (RO)";0;0;0;3240;0;0;0;1080;0;0;0;2908.37235092336;0;0;0;0;818;136;4483900.07570659;103622.967598478;49868.1937730558;143134.617982595;153264.730221681;449890.509575809;37816.4947876322;487707.003465796;14909.1155755839;"32712"
2016;"1100106";"1001";"Norte";0;11;"RO";0;"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;911;28;664749.047463747;44818.6776973826;26306.5304207321;281210.58634363;225110.631213063;577446.425674808;87127.5323875382;664573.958062347;14125.4438738781;"47048"
2016;"1100114";"1002";"Norte";0;11;"RO";0;"JARU (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1226;785;25557747.5178422;149012.783199793;205207.767601635;447281.52722904;264495.138150219;1065997.21618069;113439.223373902;1179436.43955459;21134.5853337719;"55806"
2016;"1100122";"1005";"Norte";0;11;"RO";0;"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3929;454;13613303.5149053;126448.455482994;376525.996575518;1220676.35699535;600049.600808345;2323700.41075985;356467.595185583;2680168.00504779;20372.2147665993;"131560"
2016;"1100130";"1002";"Norte";0;11;"RO";0;"MACHADINHO D OESTE (RO)";0;0;0;13974;0;0;0;4180;0;0;0;12929.6899205864;0;0;0;0;510;40.077;36487763.398901;116010.565637517;39596.6727001551;104040.289408524;177072.017288436;436719.544136986;23686.2512017292;460405.795338715;12148.2264275175;"37899"
2016;"1100148";"1005";"Norte";0;11;"RO";0;"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;752;15912517.1602338;84470.163342249;14629.4639046473;60614.6825708191;101028.554940482;260742.865655843;15516.5461963442;276259.410954542;12748.4731890419;"21670"
2016;"1100155";"1005";"Norte";0;11;"RO";0;"OURO PRETO DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;951;421;16215493.7978956;104259.194696095;72331.2724309196;223448.516162718;194404.447951431;594443.431241164;43891.1672347164;638334.597578234;16022.4566691415;"39840"
2016;"1100189";"1004";"Norte";0;11;"RO";0;"PIMENTA BUENO (RO)";0;0;0;1531;0;0;0;567;0;0;0;1360.83101358019;0;0;0;0;1257;240;5075241.74219783;76951.370919562;172339.135890137;331302.744535915;188231.49496003;768824.746305644;129433.437413637;898258.18371928;23772.2456681547;"37786"
2016;"1100205";"1006";"Norte";0;11;"RO";0;"PORTO VELHO (RO)";0;0;0;24320;0;0;0;7600;0;0;0;26742.6632958977;0;0;0;0;9515;58.796;59850088.0143967;486720.938670777;3110828.60349189;5327532.19289815;2608214.9036059;11533296.6377691;1708111.1035962;13241407.7413653;25901.6320283821;"511.219(1)"
2016;"1100254";"1005";"Norte";0;11;"RO";0;"PRESIDENTE MEDICI (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422;532;15826107.7570432;82947.2417359147;33868.061554645;94317.576402951;109095.201233025;320228.080926535;28334.9038028664;348562.984729402;15604.7372020112;"22337"
2016;"1100262";"1002";"Norte";0;11;"RO";0;"RIO CRESPO (RO)";0;0;0;25080;0;0;0;7600;0;0;0;24389.0360415394;0;0;0;0;85;138;3956829.73089366;44144.6767673888;2887.4473299751;8230.96125155773;23256.8255358865;78519.9117824538;3080.00402075091;81599.914905559;21530.3214555707;"3790"
2016;"1100288";"1003";"Norte";0;11;"RO";0;"ROLIM DE MOURA (RO)";0;0;0;7447;0;0;0;2533;0;0;0;6604.87770311546;0;0;0;0;1393;522;11987658.8344649;83961.7592094545;242196.042322428;383194.3692534;277490.884029002;986843.054814285;88258.9430907946;1075101.99790508;18973.2786893473;"56664"
2016;"1100296";"1003";"Norte";0;11;"RO";0;"SANTA LUZIA D OESTE (RO)";0;0;0;960;0;0;0;400;0;0;0;822.243541186974;0;0;0;0;264;326;7911534.27640938;47373.8093757248;13481.887498407;23573.1711713171;44338.7145737136;128767.582619163;5210.93522937832;133978.516950895;16022.3040693576;"8362"
2016;"1100304";"1001";"Norte";0;11;"RO";0;"VILHENA (RO)";0;0;0;169280;0;0;0;54000;0;0;0;153333.160452986;0;0;0;0;1945;172;3894477.92599051;100693.240254274;413846.509750406;900276.294317128;481757.494259067;1896573.53768323;277381.07053161;2173954.60821484;23190.0864692449;"93745"
2016;"1100320";"1001";"Norte";0;11;"RO";0;"SAO MIGUEL DO GUAPORE (RO)";0;0;0;16500;0;0;0;5500;0;0;0;14070.5977162727;0;0;0;0;377;1056;23509830.6095793;112035.000162962;99533.9432869884;101253.644109882;121171.937354748;433994.524914581;27938.9396790376;461933.464593619;19200.0240152249;"24059"
2016;"1100346";"1005";"Norte";0;11;"RO";0;"ALVORADA D OESTE (RO)";0;0;0;2076;0;0;0;629;0;0;0;1770.15749259903;0;0;0;0;351;644;20224854.4245212;73320.8497139044;10163.7425385085;44597.3002933133;82260.0445152014;210341.936163282;8323.55341451999;218665.489577802;12937.2570745736;"16902"
2016;"1100379";"1001";"Norte";0;11;"RO";0;"ALTO ALEGRE DOS PARECIS (RO)";0;0;0;7218;0;0;0;2123;0;0;0;6479.20729289037;0;0;0;0;218;424;11676096.8791053;86302.3714975424;9008.05231199662;30659.4320737371;72201.8543495325;198171.710232809;8313.43245826794;206485.142691077;14756.3183096659;"13993"
2016;"1100403";"1002";"Norte";0;11;"RO";0;"ALTO PARAISO (RO)";0;0;0;16106;0;0;0;5100;0;0;0;14095.7317983177;0;0;0;0;409;81.408;46913407.0937717;66647.9376412763;20334.8008901837;57712.4420382689;99762.0664991495;244457.246171233;13296.9976003007;257754.243771533;12531.1980262206;"20569"
2016;"1100452";"1006";"Norte";0;11;"RO";0;"BURITIS (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;574;41.219;41140010.3532998;137697.241729261;33847.641908275;138377.202129637;178993.138156609;488915.223923782;33244.7138787839;522159.937802566;13580.2317755745;"38450"
2016;"1100502";"1003";"Norte";0;11;"RO";0;"NOVO HORIZONTE DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;499;11030928.152271;46126.3007569193;8592.89921417227;24810.7105360086;49896.7469879047;129426.656597359;5559.53148265589;134986.188977661;13284.7357588459;"10161"
2016;"1100601";"1002";"Norte";0;11;"RO";0;"CACAULANDIA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;169;6950325.56253503;63776.3795393825;2944.0187627837;14821.5915207368;35042.4201205958;116584.410841145;3775.90481501809;120360.314758517;18765.2492781354;"6414"
2016;"1100700";"1006";"Norte";0;11;"RO";0;"CAMPO NOVO DE RONDONIA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;720;26748410.6256509;92545.1281183027;10088.9982667356;18410.0867459236;71949.4740552606;192993.687186222;5512.72912895071;198506.416315173;13829.3464344721;"14354"
2016;"1100809";"1006";"Norte";0;11;"RO";0;"CANDEIAS DO JAMARI (RO)";0;0;0;2700;0;0;0;1000;0;0;0;2477.50237300879;0;0;0;0;269;381;13515779.8206344;62781.3337982614;79317.1128014661;75471.7966282975;124686.62634801;342256.869576035;16535.1605252573;358792.030101292;14514.8246635027;"24719"
2016;"1100908";"1003";"Norte";0;11;"RO";0;"CASTANHEIRAS (RO)";0;0;0;5550;0;0;0;1850;0;0;0;4733.28623654903;0;0;0;0;60;94;2952842.77347286;31298.9203185001;1543.85919432357;5391.75789442226;21623.8732018796;59858.4106091255;1775.07748915934;61633.4889959306;17201.6400811992;"3583"
2016;"1100924";"1001";"Norte";0;11;"RO";0;"CHUPINGUAIA (RO)";0;0;0;75000;0;0;0;25000;0;0;0;69980.465579625;0;0;0;0;214;304;8336399.69519402;92232.678265589;45592.0731501151;38682.8136346224;58466.1233942202;234973.689342193;11996.7038186175;246970.39316081;23829.6411397961;"10364"
2016;"1100940";"1002";"Norte";0;11;"RO";0;"CUJUBIM (RO)";0;0;0;10500;0;0;0;3500;0;0;0;15708.8012781354;0;0;0;0;311;590;18480048.504565;65230.8529614962;50135.6186107232;50859.7476720643;103506.292496687;269732.511740971;13469.7917214229;283202.303462394;13038.7808131197;"21720"
2016;"1101005";"1002";"Norte";0;11;"RO";0;"GOVERNADOR JORGE TEIXEIRA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;646;19482007.0158944;75395.2301355763;3926.40141478314;13117.6955472205;49907.3095858841;142346.636683464;4233.04619219022;146579.682875654;14756.8389442225;"9933"
2016;"1101104";"1002";"Norte";0;11;"RO";0;"ITAPUA DO OESTE (RO)";0;0;0;4044;0;0;0;1498;0;0;0;3727.02530896105;0;0;0;0;235;189;6654662.1258907;38028.2673817772;12191.1662113998;28788.8764904093;52342.5184799775;131350.82946121;6671.52969811569;138022.359159325;13591.5690418683;"10155"
