"ano";"chave";"Estado";"Mun";"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"Total"
2016;"ALTA FLORESTA D OESTE (RO)";"RO";"ALTA FLORESTA D OESTE";"RO-ALTA FLORESTA D OESTE";0;0;0;0;0;0;0;0;0
2016;"ARIQUEMES (RO)";"RO";"ARIQUEMES";"RO-ARIQUEMES";0;0;0;0;0;0;0;0;0
2016;"CABIXI (RO)";"RO";"CABIXI";"RO-CABIXI";0;0;0;0;0;0;0;0;0
2016;"CACOAL (RO)";"RO";"CACOAL";"RO-CACOAL";0;0;0;0;0;0;0;0;0
2016;"CEREJEIRAS (RO)";"RO";"CEREJEIRAS";"RO-CEREJEIRAS";0;0;0;0;0;0;0;2953.26999999955;2953.26999999955
2016;"COLORADO DO OESTE (RO)";"RO";"COLORADO DO OESTE";"RO-COLORADO DO OESTE";0;0;0;0;0;0;0;0;0
2016;"CORUMBIARA (RO)";"RO";"CORUMBIARA";"RO-CORUMBIARA";0;0;0;0;0;0;0;3597.21999999881;3597.21999999881
2016;"COSTA MARQUES (RO)";"RO";"COSTA MARQUES";"RO-COSTA MARQUES";0;0;0;0;0;0;0;0;0
2016;"ESPIGAO D OESTE (RO)";"RO";"ESPIGAO D OESTE";"RO-ESPIGAO D OESTE";0;0;0;0;0;0;0;0;0
2016;"GUAJARA MIRIM (RO)";"RO";"GUAJARA MIRIM";"RO-GUAJARA-MIRIM";0;0;0;0;0;0;0;0;0
2016;"JARU (RO)";"RO";"JARU";"RO-JARU";0;0;0;0;0;0;0;0;0
2016;"JI PARANA (RO)";"RO";"JI PARANA";"RO-JI-PARANA";0;0;0;0;0;0;0;0;0
2016;"MACHADINHO D OESTE (RO)";"RO";"MACHADINHO D OESTE";"RO-MACHADINHO D OESTE";0;0;0;0;0;0;0;0;0
2016;"NOVA BRASILANDIA D OESTE (RO)";"RO";"NOVA BRASILANDIA D OESTE";"RO-NOVA BRASILANDIA D OESTE";0;0;0;0;0;0;0;0;0
2016;"OURO PRETO DO OESTE (RO)";"RO";"OURO PRETO DO OESTE";"RO-OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;0
2016;"PIMENTA BUENO (RO)";"RO";"PIMENTA BUENO";"RO-PIMENTA BUENO";0;0;0;0;0;0;0;0;0
2016;"PORTO VELHO (RO)";"RO";"PORTO VELHO";"RO-PORTO VELHO";0;0;0;0;0;0;0;1981.5700000003;1981.5700000003
2016;"PRESIDENTE MEDICI (RO)";"RO";"PRESIDENTE MEDICI";"RO-PRESIDENTE MEDICI";0;0;0;0;0;0;0;0;0
2016;"RIO CRESPO (RO)";"RO";"RIO CRESPO";"RO-RIO CRESPO";0;0;0;0;0;0;0;0;0
2016;"ROLIM DE MOURA (RO)";"RO";"ROLIM DE MOURA";"RO-ROLIM DE MOURA";0;0;0;0;0;0;0;0;0
2016;"SANTA LUZIA D OESTE (RO)";"RO";"SANTA LUZIA D OESTE";"RO-SANTA LUZIA D OESTE";0;0;0;0;0;0;0;0;0
2016;"VILHENA (RO)";"RO";"VILHENA";"RO-VILHENA";0;0;0;0;0;0;0;0;0
2016;"SAO MIGUEL DO GUAPORE (RO)";"RO";"SAO MIGUEL DO GUAPORE";"RO-SAO MIGUEL DO GUAPORE";0;0;0;0;0;0;0;0;0
2016;"NOVA MAMORE (RO)";"RO";"NOVA MAMORE";"RO-NOVA MAMORE";0;0;0;0;0;0;0;0;0
2016;"ALVORADA D OESTE (RO)";"RO";"ALVORADA D OESTE";"RO-ALVORADA D OESTE";0;0;0;0;0;0;0;0;0
2016;"ALTO ALEGRE DOS PARECIS (RO)";"RO";"ALTO ALEGRE DOS PARECIS";"RO-ALTO ALEGRE DOS PARECIS";0;0;0;0;0;0;0;0;0
2016;"ALTO PARAISO (RO)";"RO";"ALTO PARAISO";"RO-ALTO PARAISO";0;0;0;0;0;0;0;0;0
2016;"BURITIS (RO)";"RO";"BURITIS";"RO-BURITIS";0;0;0;0;0;0;0;0;0
2016;"NOVO HORIZONTE DO OESTE (RO)";"RO";"NOVO HORIZONTE DO OESTE";"RO-NOVO HORIZONTE DO OESTE";0;0;0;0;0;0;0;0;0
2016;"CACAULANDIA (RO)";"RO";"CACAULANDIA";"RO-CACAULANDIA";0;0;0;0;0;0;0;0;0
2016;"CAMPO NOVO DE RONDONIA (RO)";"RO";"CAMPO NOVO DE RONDONIA";"RO-CAMPO NOVO DE RONDONIA";0;0;0;0;0;0;0;0;0
2016;"CANDEIAS DO JAMARI (RO)";"RO";"CANDEIAS DO JAMARI";"RO-CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0;0
2016;"CASTANHEIRAS (RO)";"RO";"CASTANHEIRAS";"RO-CASTANHEIRAS";0;0;0;0;0;0;0;0;0
2016;"CHUPINGUAIA (RO)";"RO";"CHUPINGUAIA";"RO-CHUPINGUAIA";0;0;0;0;0;0;0;0;0
2016;"CUJUBIM (RO)";"RO";"CUJUBIM";"RO-CUJUBIM";0;0;0;0;0;0;0;0;0
2016;"GOVERNADOR JORGE TEIXEIRA (RO)";"RO";"GOVERNADOR JORGE TEIXEIRA";"RO-GOVERNADOR JORGE TEIXEIRA";0;0;0;0;0;0;0;0;0
2016;"ITAPUA DO OESTE (RO)";"RO";"ITAPUA DO OESTE";"RO-ITAPUA DO OESTE";0;0;0;0;0;0;0;0;0
2016;"MINISTRO ANDREAZZA (RO)";"RO";"MINISTRO ANDREAZZA";"RO-MINISTRO ANDREAZZA";0;0;0;0;0;0;0;0;0
2016;"MIRANTE DA SERRA (RO)";"RO";"MIRANTE DA SERRA";"RO-MIRANTE DA SERRA";0;0;0;0;0;0;0;0;0
2016;"MONTE NEGRO (RO)";"RO";"MONTE NEGRO";"RO-MONTE NEGRO";0;0;0;0;0;0;0;0;0
2016;"NOVA UNIAO (RO)";"RO";"NOVA UNIAO";"RO-NOVA UNIAO";0;0;0;0;0;0;0;0;0
2016;"PARECIS (RO)";"RO";"PARECIS";"RO-PARECIS";0;0;0;0;0;0;0;0;0
2016;"PIMENTEIRAS DO OESTE (RO)";"RO";"PIMENTEIRAS DO OESTE";"RO-PIMENTEIRAS DO OESTE";0;0;0;0;0;0;0;0;0
2016;"PRIMAVERA DE RONDONIA (RO)";"RO";"PRIMAVERA DE RONDONIA";"RO-PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0;0
2016;"SAO FELIPE D OESTE (RO)";"RO";"SAO FELIPE D OESTE";"RO-SAO FELIPE D OESTE";0;0;0;0;0;0;0;0;0
2016;"SAO FRANCISCO DO GUAPORE (RO)";"RO";"SAO FRANCISCO DO GUAPORE";"RO-SAO FRANCISCO DO GUAPORE";0;0;0;0;0;0;0;0;0
2016;"SERINGUEIRAS (RO)";"RO";"SERINGUEIRAS";"RO-SERINGUEIRAS";0;0;0;0;0;0;0;0;0
