"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2019;"1100015";"ALTA FLORESTA D OESTE (RO)";0;0;0;450
2019;"1100023";"ARIQUEMES (RO)";0;0;0;7893
2019;"1100031";"CABIXI (RO)";0;0;0;24630
2019;"1100049";"CACOAL (RO)";0;0;0;1000
2019;"1100056";"CEREJEIRAS (RO)";0;0;0;35190
2019;"1100064";"COLORADO DO OESTE (RO)";0;0;0;3250
2019;"1100072";"CORUMBIARA (RO)";0;0;0;40500
2019;"1100080";"COSTA MARQUES (RO)";0;0;0;0
2019;"1100098";"ESPIGAO D OESTE (RO)";0;0;0;900
2019;"1100106";"GUAJARA MIRIM (RO)";0;0;0;0
2019;"1100114";"JARU (RO)";0;0;0;0
2019;"1100122";"JI PARANA (RO)";0;0;0;0
2019;"1100130";"MACHADINHO D OESTE (RO)";0;0;0;9300
2019;"1100148";"NOVA BRASILANDIA D OESTE (RO)";0;0;0;300
2019;"1100155";"OURO PRETO DO OESTE (RO)";0;0;0;0
2019;"1100189";"PIMENTA BUENO (RO)";0;0;0;568
2019;"1100205";"PORTO VELHO (RO)";0;0;0;10650
2019;"1100254";"PRESIDENTE MEDICI (RO)";0;0;0;0
2019;"1100262";"RIO CRESPO (RO)";0;0;0;21850
2019;"1100288";"ROLIM DE MOURA (RO)";0;0;0;2533
2019;"1100296";"SANTA LUZIA D OESTE (RO)";0;0;0;400
2019;"1100304";"VILHENA (RO)";0;0;0;41652
2019;"1100320";"SAO MIGUEL DO GUAPORE (RO)";0;0;0;11253
2019;"1100338";"NOVA MAMORE (RO)";0;0;0;300
2019;"1100346";"ALVORADA D OESTE (RO)";0;0;0;370
2019;"1100379";"ALTO ALEGRE DOS PARECIS (RO)";0;0;0;2981
2019;"1100403";"ALTO PARAISO (RO)";0;0;0;24112
2019;"1100452";"BURITIS (RO)";0;0;0;0
2019;"1100502";"NOVO HORIZONTE DO OESTE (RO)";0;0;0;1500
2019;"1100601";"CACAULANDIA (RO)";0;0;0;0
2019;"1100700";"CAMPO NOVO DE RONDONIA (RO)";0;0;0;174
2019;"1100809";"CANDEIAS DO JAMARI (RO)";0;0;0;6000
2019;"1100908";"CASTANHEIRAS (RO)";0;0;0;2405
2019;"1100924";"CHUPINGUAIA (RO)";0;0;0;33824
2019;"1100940";"CUJUBIM (RO)";0;0;0;16414
2019;"1101005";"GOVERNADOR JORGE TEIXEIRA (RO)";0;0;0;0
2019;"1101104";"ITAPUA DO OESTE (RO)";0;0;0;2793
2019;"1101203";"MINISTRO ANDREAZZA (RO)";0;0;0;0
2019;"1101302";"MIRANTE DA SERRA (RO)";0;0;0;0
2019;"1101401";"MONTE NEGRO (RO)";0;0;0;0
2019;"1101435";"NOVA UNIAO (RO)";0;0;0;0
2019;"1101450";"PARECIS (RO)";0;0;0;1180
2019;"1101468";"PIMENTEIRAS DO OESTE (RO)";0;0;0;34352
2019;"1101476";"PRIMAVERA DE RONDONIA (RO)";0;0;0;0
2019;"1101484";"SAO FELIPE D OESTE (RO)";0;0;0;240
2019;"1101492";"SAO FRANCISCO DO GUAPORE (RO)";0;0;0;1200
2019;"1101500";"SERINGUEIRAS (RO)";0;0;0;3337
2019;"1101559";"TEIXEIROPOLIS (RO)";0;0;0;0
2019;"1101609";"THEOBROMA (RO)";0;0;0;680
2019;"1101708";"URUPA (RO)";0;0;0;0
2019;"1101757";"VALE DO ANARI (RO)";0;0;0;370
2019;"1101807";"VALE DO PARAISO (RO)";0;0;0;0
2019;"1200013";"ACRELANDIA (AC)";0;0;0;0
2019;"1200054";"ASSIS BRASIL (AC)";0;0;0;0
2019;"1200104";"BRASILEIA (AC)";0;0;0;0
2019;"1200138";"BUJARI (AC)";0;0;0;0
2019;"1200179";"CAPIXABA (AC)";0;0;0;500
2019;"1200203";"CRUZEIRO DO SUL (AC)";145;0;0;0
2019;"1200252";"EPITACIOLANDIA (AC)";0;0;0;0
2019;"1200302";"FEIJO (AC)";0;0;0;0
2019;"1200328";"JORDAO (AC)";0;0;0;0
2019;"1200336";"MANCIO LIMA (AC)";0;0;0;0
2019;"1200344";"MANOEL URBANO (AC)";0;0;0;0
2019;"1200351";"MARECHAL THAUMATURGO (AC)";0;0;0;0
2019;"1200385";"PLACIDO DE CASTRO (AC)";0;0;0;520
2019;"1200393";"PORTO WALTER (AC)";0;0;0;0
2019;"1200401";"RIO BRANCO (AC)";0;0;0;640
2019;"1200427";"RODRIGUES ALVES (AC)";0;0;0;0
2019;"1200435";"SANTA ROSA DO PURUS (AC)";0;0;0;0
2019;"1200450";"SENADOR GUIOMARD (AC)";0;0;0;0
2019;"1200500";"SENA MADUREIRA (AC)";0;0;0;0
2019;"1200609";"TARAUACA (AC)";0;0;0;0
2019;"1200708";"XAPURI (AC)";0;0;0;0
2019;"1200807";"PORTO ACRE (AC)";0;0;0;0
2019;"1300029";"ALVARAES (AM)";0;0;0;0
2019;"1300060";"AMATURA (AM)";0;0;0;0
2019;"1300086";"ANAMA (AM)";0;0;0;0
2019;"1300102";"ANORI (AM)";0;0;0;0
2019;"1300144";"APUI (AM)";0;0;0;0
2019;"1300201";"ATALAIA DO NORTE (AM)";0;0;0;0
2019;"1300300";"AUTAZES (AM)";0;0;0;0
2019;"1300409";"BARCELOS (AM)";0;0;0;0
2019;"1300508";"BARREIRINHA (AM)";0;0;0;0
2019;"1300607";"BENJAMIN CONSTANT (AM)";270;0;0;0
2019;"1300631";"BERURI (AM)";0;0;0;0
2019;"1300680";"BOA VISTA DO RAMOS (AM)";0;0;0;0
2019;"1300706";"BOCA DO ACRE (AM)";0;0;0;0
2019;"1300805";"BORBA (AM)";0;0;0;0
2019;"1300839";"CAAPIRANGA (AM)";0;0;0;0
2019;"1300904";"CANUTAMA (AM)";0;0;0;0
2019;"1301001";"CARAUARI (AM)";0;0;0;0
2019;"1301100";"CAREIRO (AM)";0;0;0;0
2019;"1301159";"CAREIRO DA VARZEA (AM)";0;0;0;0
2019;"1301209";"COARI (AM)";0;0;0;0
2019;"1301308";"CODAJAS (AM)";0;0;0;0
2019;"1301407";"EIRUNEPE (AM)";0;0;0;0
2019;"1301506";"ENVIRA (AM)";0;0;0;0
