Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
RO-CEREJEIRAS;0;0;0;0;0;1788;0;1788
RO-CORUMBIARA;0;0;0;0;0;3500;0;3500
RO-PORTO VELHO;0;0;0;0;0;16005,2999999989;0;16005,2999999989
AM-MANICORE;0;0;0;2599,93999999948;0;0;0;2599,93999999948
AM-RIO PRETO DA EVA;0;0;0;21541,5;0;0;0;21541,5
RR-BOA VISTA;0;0;0;0;0;800;0;800
RR-BONFIM;0;0;0;0;0;1970;0;1970
PA-ABAETETUBA;0;0;0;896,900000000373;0;0;0;896,900000000373
PA-ACARA;0;0;0;568664,679999988;0;0;0;568664,679999988
PA-BELEM;0;0;0;2603,77000000142;0;0;0;2603,77000000142
PA-BONITO;0;0;0;634461,389999982;0;0;0;634461,389999982
PA-BRAGANCA;0;0;0;117469,379999995;0;0;0;117469,379999995
PA-CASTANHAL;0;0;0;23687,2399999974;0;0;0;23687,2399999974
PA-CONCORDIA DO PARA;0;0;0;677605,339999997;0;0;0;677605,339999997
PA-CUMARU DO NORTE;0;0;0;0;0;7507,89999999944;0;7507,89999999944
PA-GARRAFAO DO NORTE;0;0;0;59990,9599999981;0;0;0;59990,9599999981
PA-IGARAPE-ACU;0;0;0;369536,089999999;0;0;0;369536,089999999
PA-MOJU;0;0;0;1987020,22000002;0;0;0;1987020,22000002
PA-REDENCAO;0;0;0;812,070000000298;0;0;0;812,070000000298
PA-SANTA BARBARA DO PARA;0;0;0;45747,7500000009;0;0;0;45747,7500000009
PA-SANTANA DO ARAGUAIA;0;0;0;0;0;23018,5500000007;0;23018,5500000007
PA-SANTAREM;0;0;0;0;0;2070,78999999911;0;2070,78999999911
PA-SANTO ANTONIO DO TAUA;0;0;0;83284,2399999946;0;0;0;83284,2399999946
PA-SAO FRANCISCO DO PARA;0;0;0;812,070000000298;0;0;0;812,070000000298
PA-TAILANDIA;0;0;0;4055514,18999998;0;0;0;4055514,18999998
PA-TOME-ACU;0;0;0;1015973,46000001;0;0;0;1015973,46000001
TO-ALMAS;0;0;788;0;0;4420,25;0;5208,25
TO-APARECIDA DO RIO NEGRO;0;0;0;0;0;2385,87999999989;0;2385,87999999989
TO-ARAGUACEMA;0;0;0;0;0;4544,57999999821;0;4544,57999999821
TO-BREJINHO DE NAZARE;0;0;0;0;0;3738,95000000019;0;3738,95000000019
TO-CAMPOS LINDOS;0;0;0;0;0;7274,51000000257;0;7274,51000000257
TO-CARIRI DO TOCANTINS;0;0;0;0;0;5563,23000000045;0;5563,23000000045
TO-CENTENARIO;0;0;788;0;0;2399,1099999994;0;3187,1099999994
TO-FORMOSO DO ARAGUAIA;0;0;0;0;0;3171,36000000127;0;3171,36000000127
TO-GOIATINS;0;0;0;0;0;46387,9000000004;0;46387,9000000004
TO-GUARAI;0;0;0;0;0;3243,66000000108;0;3243,66000000108
TO-GURUPI;0;0;0;0;0;2500;0;2500
TO-IPUEIRAS;0;0;0;0;0;1826,9299999997;0;1826,9299999997
TO-ITACAJA;0;0;0;0;0;804,780000000261;0;804,780000000261
TO-ITAPIRATINS;0;0;0;0;0;1619,75999999978;0;1619,75999999978
TO-ITAPORA DO TOCANTINS;0;0;0;0;0;16571,6500000004;0;16571,6500000004
TO-LAGOA DA CONFUSAO;0;0;0;0;0;5287,83000000007;0;5287,83000000007
TO-MARIANOPOLIS DO TOCANTINS;0;0;0;0;0;1461,73000000045;0;1461,73000000045
TO-MIRACEMA DO TOCANTINS;0;0;0;0;0;1576;0;1576
TO-PEDRO AFONSO;0;0;0;0;0;5921,58000000007;0;5921,58000000007
TO-PEIXE;0;0;2090,01000000071;0;0;0;0;2090,01000000071
TO-PORTO NACIONAL;0;0;0;0;0;3990,88999999873;0;3990,88999999873
TO-SANTA MARIA DO TOCANTINS;0;0;0;0;0;788;0;788
TO-SAO VALERIO;0;0;0;0;0;5740,52999999933;0;5740,52999999933
MA-ALTAMIRA DO MARANHAO;0;0;0;0;0;809,879999999888;0;809,879999999888
MA-ALTO PARNAIBA;0;0;0;0;0;900;0;900
MA-BALSAS;0;0;0;0;0;5510,22000000067;0;5510,22000000067
MA-COLINAS;0;0;0;0;0;1619,75999999978;0;1619,75999999978
MA-PORTO FRANCO;0;0;0;0;0;2317,28999999911;0;2317,28999999911
MA-RIACHAO;0;0;0;0;0;1145,97000000067;0;1145,97000000067
PI-BAIXA GRANDE DO RIBEIRO;0;0;0;0;0;58738,8199999984;0;58738,8199999984
PI-MONTE ALEGRE DO PIAUI;0;0;0;0;0;5921,75;0;5921,75
PI-RIBEIRO GONCALVES;0;0;0;0;0;6882,46000000089;0;6882,46000000089
PI-SANTA FILOMENA;0;0;0;0;0;788;0;788
PI-TERESINA;0;1156,25;0;0;0;0;0;1156,25
PI-URUCUI;0;0;0;0;0;19035,5999999996;0;19035,5999999996
PE-PASSIRA;0;0;0;0;0;3152;0;3152
PE-VITORIA DE SANTO ANTAO;0;0;0;0;0;788;0;788
BA-BARRA;0;0;0;0;0;0;788;788
BA-BARREIRAS;0;0;0;0;0;4254,32000000076;0;4254,32000000076
BA-CORRENTINA;0;0;0;0;0;25972,3399999994;0;25972,3399999994
BA-ENTRE RIOS;0;0;0;787,990000000224;0;0;0;787,990000000224
BA-FORMOSA DO RIO PRETO;0;0;0;0;0;17967,7399999951;0;17967,7399999951
BA-JABORANDI;0;0;1000;0;0;11969,7899999977;0;12969,7899999977
BA-LUIS EDUARDO MAGALHAES;0;0;0;0;0;8478,529999997;0;8478,529999997
BA-POCOES;0;0;0;0;7096,94000000041;0;0;7096,94000000041
BA-RIACHAO DAS NEVES;0;0;0;0;0;2386,75999999978;0;2386,75999999978
BA-SALVADOR;0;0;0;0;0;788;0;788
BA-SAO DESIDERIO;0;0;0;0;0;26304,2599999984;0;26304,2599999984
BA-SEBASTIAO LARANJEIRAS;0;0;0;0;1576;0;0;1576
BA-TAPEROA;0;0;0;22979,3899999997;0;0;0;22979,3899999997
BA-VALENCA;0;0;0;788;0;0;0;788
MG-ARAGUARI;0;0;0;0;0;59548,9199999999;0;59548,9199999999
MG-COIMBRA;0;0;885,509999999776;0;0;0;0;885,509999999776
MG-COROMANDEL;0;0;0;0;0;6791,58000000101;0;6791,58000000101
MG-ESTRELA DO INDAIA;0;0;0;0;0;3506,52999999933;0;3506,52999999933
MG-ESTRELA DO SUL;0;0;0;0;0;1120,09999999963;0;1120,09999999963
MG-FRUTAL;0;0;0;0;0;1214,83000000007;0;1214,83000000007
MG-GUARDA-MOR;0;0;0;0;0;1214,83000000007;0;1214,83000000007
MG-MONTE ALEGRE DE MINAS;0;0;0;0;0;1388,09999999963;0;1388,09999999963
MG-PARACATU;0;0;0;0;0;2439,09999999963;0;2439,09999999963
MG-PATROCINIO;0;0;0;0;0;2078,32999999821;0;2078,32999999821
MG-PRATA;0;0;0;0;0;2138,46000000089;0;2138,46000000089
MG-PRESIDENTE OLEGARIO;0;0;0;0;0;17955,3100000033;0;17955,3100000033
MG-SACRAMENTO;0;0;0;0;0;1576,01999999955;0;1576,01999999955
MG-TUPACIGUARA;0;0;0;0;0;5613,11999999825;0;5613,11999999825
MG-UBERLANDIA;0;0;0;0;0;9634,36000000034;0;9634,36000000034
RJ-BOM JESUS DO ITABAPOANA;0;0;0;0;0;2388,33000000007;0;2388,33000000007
RJ-RIO DE JANEIRO;1162,24000000022;0;0;0;0;0;0;1162,24000000022
