Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE GIRASSOL;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
RO-ALTA FLORESTA D OESTE;0;0;0;0;0;0;0;0;0
RO-ARIQUEMES;0;0;0;0;0;0;0;0;0
RO-CABIXI;0;0;0;0;0;0;0;0;0
RO-CACOAL;0;0;711,870000000112;0;0;0;0;0;711,870000000112
RO-CEREJEIRAS;0;0;0;0;0;0;0;0;0
RO-COLORADO DO OESTE;0;0;0;0;0;0;0;0;0
RO-CORUMBIARA;0;0;0;0;0;0;0;0;0
RO-COSTA MARQUES;0;0;0;0;0;0;0;0;0
RO-ESPIGAO D OESTE;0;0;0;0;0;0;0;0;0
RO-GUAJARA-MIRIM;0;0;0;0;0;0;0;0;0
RO-JARU;0;0;0;0;0;0;0;0;0
RO-JI-PARANA;0;0;0;0;0;0;0;0;0
RO-MACHADINHO D OESTE;0;0;0;0;0;0;0;0;0
RO-NOVA BRASILANDIA D OESTE;0;0;0;0;0;0;0;0;0
RO-OURO PRETO DO OESTE;0;0;0;0;0;0;0;0;0
RO-PIMENTA BUENO;0;0;0;0;0;0;0;0;0
RO-PORTO VELHO;0;0;0;0;0;0;900;0;900
RO-PRESIDENTE MEDICI;0;0;0;0;0;0;0;0;0
RO-RIO CRESPO;0;0;0;0;0;0;0;0;0
RO-ROLIM DE MOURA;0;0;0;0;0;0;0;0;0
RO-SANTA LUZIA D OESTE;0;0;0;0;0;0;0;0;0
RO-VILHENA;0;0;0;0;0;0;1212,87000000011;0;1212,87000000011
RO-SAO MIGUEL DO GUAPORE;0;0;0;0;0;0;0;0;0
RO-NOVA MAMORE;0;0;0;0;0;0;0;0;0
RO-ALVORADA D OESTE;0;0;0;0;0;0;0;0;0
RO-ALTO ALEGRE DOS PARECIS;0;0;0;0;0;0;0;0;0
RO-ALTO PARAISO;0;0;0;0;0;0;0;0;0
RO-BURITIS;0;0;0;0;0;0;0;0;0
RO-NOVO HORIZONTE DO OESTE;0;0;0;0;0;0;0;0;0
RO-CACAULANDIA;0;0;0;0;0;0;0;0;0
RO-CAMPO NOVO DE RONDONIA;0;0;0;0;0;0;0;0;0
RO-CANDEIAS DO JAMARI;0;0;0;0;0;0;0;0;0
RO-CASTANHEIRAS;0;0;0;0;0;0;0;0;0
RO-CHUPINGUAIA;0;0;0;0;0;0;0;0;0
RO-CUJUBIM;0;0;0;0;0;0;0;0;0
RO-GOVERNADOR JORGE TEIXEIRA;0;0;0;0;0;0;0;0;0
RO-ITAPUA DO OESTE;0;0;0;0;0;0;0;0;0
RO-MINISTRO ANDREAZZA;0;0;0;0;0;0;0;0;0
RO-MIRANTE DA SERRA;0;0;0;0;0;0;0;0;0
RO-MONTE NEGRO;0;0;0;0;0;0;0;0;0
