"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"RO-ALTA FLORESTA D OESTE";0;0;0;0;0;0;0;0;"RO";"ALTA FLORESTA D OESTE";"ALTA FLORESTA D OESTE (RO)";2015
"RO-ARIQUEMES";0;0;0;0;0;0;0;0;"RO";"ARIQUEMES";"ARIQUEMES (RO)";2015
"RO-CABIXI";0;0;0;0;0;0;0;0;"RO";"CABIXI";"CABIXI (RO)";2015
"RO-CACOAL";0;0;0;0;0;0;0;0;"RO";"CACOAL";"CACOAL (RO)";2015
"RO-CEREJEIRAS";0;0;0;0;0;1788;0;1788;"RO";"CEREJEIRAS";"CEREJEIRAS (RO)";2015
"RO-COLORADO DO OESTE";0;0;0;0;0;0;0;0;"RO";"COLORADO DO OESTE";"COLORADO DO OESTE (RO)";2015
"RO-CORUMBIARA";0;0;0;0;0;3500;0;3500;"RO";"CORUMBIARA";"CORUMBIARA (RO)";2015
"RO-COSTA MARQUES";0;0;0;0;0;0;0;0;"RO";"COSTA MARQUES";"COSTA MARQUES (RO)";2015
"RO-ESPIGAO D OESTE";0;0;0;0;0;0;0;0;"RO";"ESPIGAO D OESTE";"ESPIGAO D OESTE (RO)";2015
"RO-GUAJARA-MIRIM";0;0;0;0;0;0;0;0;"RO";"GUAJARA-MIRIM";"GUAJARA-MIRIM (RO)";2015
"RO-JARU";0;0;0;0;0;0;0;0;"RO";"JARU";"JARU (RO)";2015
"RO-JI-PARANA";0;0;0;0;0;0;0;0;"RO";"JI-PARANA";"JI-PARANA (RO)";2015
"RO-MACHADINHO D OESTE";0;0;0;0;0;0;0;0;"RO";"MACHADINHO D OESTE";"MACHADINHO D OESTE (RO)";2015
"RO-NOVA BRASILANDIA D OESTE";0;0;0;0;0;0;0;0;"RO";"NOVA BRASILANDIA D OESTE";"NOVA BRASILANDIA D OESTE (RO)";2015
"RO-OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;"RO";"OURO PRETO DO OESTE";"OURO PRETO DO OESTE (RO)";2015
"RO-PIMENTA BUENO";0;0;0;0;0;0;0;0;"RO";"PIMENTA BUENO";"PIMENTA BUENO (RO)";2015
"RO-PORTO VELHO";0;0;0;0;0;16005.2999999989;0;16005.2999999989;"RO";"PORTO VELHO";"PORTO VELHO (RO)";2015
"RO-PRESIDENTE MEDICI";0;0;0;0;0;0;0;0;"RO";"PRESIDENTE MEDICI";"PRESIDENTE MEDICI (RO)";2015
