"cod_mun";"amc";"chave";"estado";"municipio";"polo"
2404606;5048;"IELMO MARINHO (RN)";"RN";"Ielmo Marinho";"Mato Grande"
1501907;2024;"BUJARU (PA)";"PA";"Bujaru";"Moju"
1501204;2015;"BAIAO (PA)";"PA";"Baiao";"Moju"
2922250;10033;"MUQUEM DE SAO FRANCISCO (BA)";"BA";"Muquem de Sao Francisco";"Velho Chico"
1505403;2022;"OUREM (PA)";"PA";"Ourem";"Moju"
1506500;2061;"SANTA ISABEL DO PARA (PA)";"PA";"Santa Isabel do Para";"Moju"
1502756;2024;"CONCORDIA DO PARA (PA)";"PA";"Concordia do Para";"Moju"
2404903;5051;"ITAU (RN)";"RN";"Itau";"Sertão do Apodi"
1500107;2001;"ABAETETUBA (PA)";"PA";"Abaetetuba";"Moju"
1504422;2020;"MARITUBA (PA)";"PA";"Marituba";"Moju"
2405108;5053;"JANDAIRA (RN)";"RN";"Jandaira";"Mato Grande"
2405207;5054;"JANDUIS (RN)";"RN";"Janduis";"Sertão do Apodi"
1500206;2003;"ACARA (PA)";"PA";"Acara";"Moju"
1501600;2021;"BONITO (PA)";"PA";"Bonito";"Moju"
1500800;2010;"ANANINDEUA (PA)";"PA";"Ananindeua";"Moju"
1500958;2011;"AURORA DO PARA (PA)";"PA";"Aurora do Para";"Moju"
1501303;2017;"BARCARENA (PA)";"PA";"Barcarena";"Moju"
1501402;2018;"BELEM (PA)";"PA";"Belem";"Moju"
1501501;2020;"BENEVIDES (PA)";"PA";"Benevides";"Moju"
1505007;2052;"NOVA TIMBOTEUA (PA)";"PA";"Nova Timboteua";"Moju"
1502103;2026;"CAMETA (PA)";"PA";"Cameta";"Moju"
1502301;2028;"CAPITAO POCO (PA)";"PA";"Capitao Poco";"Moju"
1506559;2022;"SANTA LUZIA DO PARA (PA)";"PA";"Santa Luzia do Para";"Moju"
1502400;2029;"CASTANHAL (PA)";"PA";"Castanhal";"Moju"
1503077;2022;"GARRAFAO DO NORTE (PA)";"PA";"Garrafao do Norte";"Moju"
1503309;2039;"IGARAPE MIRI (PA)";"PA";"Igarape-Miri";"Moju"
1503200;2038;"IGARAPE ACU (PA)";"PA";"Igarape-Acu";"Moju"
1503408;2040;"INHANGAPI (PA)";"PA";"Inhangapi";"Moju"
2933406;10335;"WAGNER (BA)";"BA";"Wagner";"Chapada Diamantina"
1503507;2041;"IRITUIA (PA)";"PA";"Irituia";"Moju"
1504604;2049;"MOCAJUBA (PA)";"PA";"Mocajuba";"Moju"
1504703;2011;"MOJU (PA)";"PA";"Moju";"Moju"
1505601;2055;"PEIXE BOI (PA)";"PA";"Peixe-Boi";"Moju"
1506351;2020;"SANTA BARBARA DO PARA (PA)";"PA";"Santa Barbara do Para";"Moju"
1506609;2063;"SANTA MARIA DO PARA (PA)";"PA";"Santa Maria do Para";"Moju"
1507003;2065;"SANTO ANTONIO DO TAUA (PA)";"PA";"Santo Antonio do Taua";"Moju"
1507201;2011;"SAO DOMINGOS DO CAPIM (PA)";"PA";"Sao Domingos do Capim";"Moju"
1507409;2067;"SAO FRANCISCO DO PARA (PA)";"PA";"Sao Francisco do Para";"Moju"
1507607;2068;"SAO MIGUEL DO GUAMA (PA)";"PA";"Sao Miguel do Guama";"Moju"
1507953;2003;"TAILANDIA (PA)";"PA";"Tailandia";"Moju"
1508001;2071;"TOME ACU (PA)";"PA";"Tome-Acu";"Moju"
1508035;2022;"TRACUATEUA (PA)";"PA";"Tracuateua";"Moju"
2406908;5072;"LUCRECIA (RN)";"RN";"Lucrecia";"Sertão do Apodi"
2202505;4039;"CARACOL (PI)";"PI";"Caracol";"Serra da Capivara"
2408805;5090;"PARAZINHO (RN)";"RN";"Parazinho";"Mato Grande"
2410108;5103;"POCO BRANCO (RN)";"RN";"Poco Branco";"Mato Grande"
5200829;16048;"AMARALINA (GO)";"GO";"Amaralina";"Norte"
2411007;5112;"RODOLFO FERNANDES (RN)";"RN";"Rodolfo Fernandes";"Sertão do Apodi"
2202851;4011;"CORONEL JOSE DIAS (PI)";"PI";"Coronel Jose Dias";"Serra da Capivara"
2515807;6165;"SERRA REDONDA (PB)";"PB";"Serra Redonda";"Borborema"
2515906;6166;"SERRARIA (PB)";"PB";"Serraria";"Borborema"
2412005;5120;"SAO GONCALO DO AMARANTE (RN)";"RN";"Sao Goncalo do Amarante";"Mato Grande"
3170909;11320;"VARZELANDIA (MG)";"MG";"Varzelandia";"Entorno do Rio São Francisco"
3170800;11708;"VARZEA DA PALMA (MG)";"MG";"Varzea da Palma";"Montes Claros"
2200707;4011;"ANISIO DE ABREU (PI)";"PI";"Anisio de Abreu";"Serra da Capivara"
3171006;11709;"VAZANTE (MG)";"MG";"Vazante";"Noroeste"
3171030;11320;"VERDELANDIA (MG)";"MG";"Verdelandia";"Janaúba"
2203354;4011;"DIRCEU ARCOVERDE (PI)";"PI";"Dirceu Arcoverde";"Serra da Capivara"
2210607;4011;"SAO RAIMUNDO NONATO (PI)";"PI";"Sao Raimundo Nonato";"Serra da Capivara"
4322509;15002;"VACARIA (RS)";"RS";"Vacaria";"Nordeste"
4322533;15035;"VALE DO SOL (RS)";"RS";"Vale do Sol";"Centro do RS"
5005103;1089;"JATEI (MS)";"MS";"Jatei";"Vale do Ininhema/Cone Sul"
2201929;4011;"BONFIM DO PIAUI (PI)";"PI";"Bonfim do Piaui";"Serra da Capivara"
5004908;1087;"JARAGUARI (MS)";"MS";"Jaraguari";"Centro do MS"
2504900;6062;"CRUZ DO ESPIRITO SANTO (PB)";"PB";"Cruz do Espirito Santo";"Mata Norte"
5208608;16119;"GOIANESIA (GO)";"GO";"Goianesia";"Norte"
